seq,recv_ts_ns,send_ts_ns
961,100282801696541,100282801667500
962,100282801900416,100282801871791
963,100282802110416,100282802085583
964,100282802325750,100282802292791
965,100282802536666,100282802508375
966,100282802747541,100282802715416
967,100282802969958,100282802944583
968,100282803231875,100282803161000
969,100282803397875,100282803368041
970,100282803602208,100282803569583
971,100282803812791,100282803784375
972,100282804020250,100282803996333
973,100282804231083,100282804206958
974,100282804445000,100282804418916
975,100282804648541,100282804625708
976,100282804887625,100282804838375
977,100282805114458,100282805076708
978,100282805382708,100282805291750
979,100282805530958,100282805498166
980,100282805730791,100282805707125
981,100282805938875,100282805913625
982,100282806155000,100282806126916
983,100282806368375,100282806341791
984,100282806573166,100282806548375
985,100282806780916,100282806750625
986,100282806980125,100282806952625
987,100282807185833,100282807160541
988,100282807400875,100282807375791
989,100282807616458,100282807591208
990,100282807824250,100282807802916
991,100282808029375,100282808003000
