seq,send_ts_ns,ack_recv_ts_ns,retransmits
843,100118642777125,100118642852250,0
844,100118642990958,100118643104791,0
845,100118643196791,100118643378500,0
846,100118643408250,100118643499000,0
847,100118643623708,100118643764375,0
848,100118643832583,100118643906041,0
849,100118644047333,100118644181416,0
850,100118644258125,100118644310291,0
851,100118644472666,100118644569250,0
852,100118644688375,100118644819375,0
853,100118644889083,100118644962500,0
854,100118645099375,100118645234583,0
855,100118645300916,100118645378416,0
856,100118645513208,100118645629125,0
857,100118645724916,100118645906541,0
858,100118645926875,100118646050750,0
859,100118646142500,100118646190500,0
860,100118646355666,100118646453416,0
861,100118646571375,100118646712125,0
862,100118646778250,100118646853666,0
863,100118646995416,100118647091958,0
864,100118647210500,100118647343875,0
